Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
SRR18306580_2	(28, 8520.0)	(29, 40.0)	(30, 23.0)	(31, 89.0)	(32, 85.0)	(33, 10.0)	(34, 97.0)	(35, 10.0)	(36, 2.0)	(37, 4.0)	(38, 82.0)	(39, 117.0)	(40, 787.0)	(41, 178.0)	(42, 965.0)	(43, 2078.0)	(44, 6849.0)	(45, 18731.0)	(46, 87658.0)	(47, 411023.0)	(48, 1137142.0)	(49, 4003777.0)	(50, 11477333.0)
SRR18306581_1	(28, 16985562.0)																						
SRR18306581_2	(28, 9306.0)	(29, 14.0)	(30, 38.0)	(31, 49.0)	(32, 56.0)	(33, 24.0)	(34, 77.0)	(35, 11.0)	(36, 7.0)	(37, 30.0)	(38, 86.0)	(39, 143.0)	(40, 803.0)	(41, 182.0)	(42, 928.0)	(43, 2067.0)	(44, 6793.0)	(45, 18532.0)	(46, 86379.0)	(47, 404871.0)	(48, 1119423.0)	(49, 3961975.0)	(50, 11373768.0)
SRR18306582_1	(28, 17166474.0)																						
SRR18306582_2	(28, 4649.0)	(29, 29.0)	(30, 16.0)	(31, 20.0)	(32, 19.0)	(33, 11.0)	(34, 10.0)	(35, 5.0)	(36, 4.0)	(37, 3.0)	(38, 56.0)	(39, 123.0)	(40, 753.0)	(41, 168.0)	(42, 887.0)	(43, 2021.0)	(44, 6774.0)	(45, 18780.0)	(46, 87843.0)	(47, 410972.0)	(48, 1137166.0)	(49, 4006312.0)	(50, 11489853.0)
SRR18306583_1	(28, 16959906.0)																						
SRR18306583_2	(28, 5279.0)	(29, 0.0)	(30, 15.0)	(31, 18.0)	(32, 4.0)	(33, 13.0)	(34, 12.0)	(35, 5.0)	(36, 6.0)	(37, 19.0)	(38, 72.0)	(39, 139.0)	(40, 773.0)	(41, 203.0)	(42, 864.0)	(43, 1891.0)	(44, 6821.0)	(45, 18413.0)	(46, 86246.0)	(47, 406650.0)	(48, 1123783.0)	(49, 3963282.0)	(50, 11345398.0)
SRR18306584_1	(28, 15472283.0)																						
SRR18306584_2	(28, 8520.0)	(29, 5.0)	(30, 28.0)	(31, 58.0)	(32, 31.0)	(33, 18.0)	(34, 50.0)	(35, 11.0)	(36, 5.0)	(37, 22.0)	(38, 66.0)	(39, 114.0)	(40, 723.0)	(41, 208.0)	(42, 875.0)	(43, 1751.0)	(44, 6158.0)	(45, 17003.0)	(46, 78062.0)	(47, 370203.0)	(48, 1010710.0)	(49, 3604249.0)	(50, 10373413.0)
SRR18306585_1	(28, 15616203.0)																						
SRR18306585_2	(28, 4174.0)	(29, 22.0)	(30, 20.0)	(31, 15.0)	(32, 17.0)	(33, 7.0)	(34, 19.0)	(35, 1.0)	(36, 2.0)	(37, 6.0)	(38, 48.0)	(39, 92.0)	(40, 691.0)	(41, 154.0)	(42, 819.0)	(43, 1790.0)	(44, 6196.0)	(45, 17069.0)	(46, 79947.0)	(47, 374879.0)	(48, 1028085.0)	(49, 3644408.0)	(50, 10457742.0)
SRR18306586_1	(28, 15459447.0)																						
SRR18306586_2	(28, 4782.0)	(29, 2.0)	(30, 12.0)	(31, 20.0)	(32, 7.0)	(33, 21.0)	(34, 13.0)	(35, 7.0)	(36, 3.0)	(37, 18.0)	(38, 55.0)	(39, 129.0)	(40, 690.0)	(41, 161.0)	(42, 857.0)	(43, 1803.0)	(44, 6227.0)	(45, 16875.0)	(46, 78649.0)	(47, 370938.0)	(48, 1017128.0)	(49, 3602692.0)	(50, 10358358.0)
SRR18306587_1	(28, 6052950.0)																						
SRR18306587_2	(28, 2976.0)	(29, 11.0)	(30, 4.0)	(31, 27.0)	(32, 25.0)	(33, 4.0)	(34, 35.0)	(35, 6.0)	(36, 2.0)	(37, 3.0)	(38, 28.0)	(39, 66.0)	(40, 263.0)	(41, 61.0)	(42, 326.0)	(43, 744.0)	(44, 2384.0)	(45, 6641.0)	(46, 31162.0)	(47, 144513.0)	(48, 401532.0)	(49, 1411300.0)	(50, 4050837.0)
SRR18306588_1	(28, 6008573.0)																						
SRR18306588_2	(28, 3285.0)	(29, 3.0)	(30, 18.0)	(31, 20.0)	(32, 12.0)	(33, 4.0)	(34, 20.0)	(35, 5.0)	(36, 2.0)	(37, 14.0)	(38, 33.0)	(39, 47.0)	(40, 277.0)	(41, 70.0)	(42, 305.0)	(43, 696.0)	(44, 2339.0)	(45, 6481.0)	(46, 30772.0)	(47, 143843.0)	(48, 396340.0)	(49, 1398051.0)	(50, 4025936.0)
SRR18306589_1	(28, 6061018.0)																						
SRR18306589_2	(28, 1695.0)	(29, 5.0)	(30, 6.0)	(31, 12.0)	(32, 5.0)	(33, 5.0)	(34, 6.0)	(35, 3.0)	(36, 3.0)	(37, 2.0)	(38, 25.0)	(39, 45.0)	(40, 244.0)	(41, 70.0)	(42, 324.0)	(43, 709.0)	(44, 2403.0)	(45, 6652.0)	(46, 31192.0)	(47, 145104.0)	(48, 402722.0)	(49, 1413849.0)	(50, 4055937.0)
SRR18306590_1	(28, 6006921.0)																						
SRR18306590_2	(28, 1815.0)	(29, 2.0)	(30, 12.0)	(31, 7.0)	(32, 4.0)	(33, 6.0)	(34, 4.0)	(35, 1.0)	(36, 1.0)	(37, 3.0)	(38, 18.0)	(39, 52.0)	(40, 252.0)	(41, 52.0)	(42, 353.0)	(43, 732.0)	(44, 2418.0)	(45, 6388.0)	(46, 30742.0)	(47, 144020.0)	(48, 397567.0)	(49, 1399843.0)	(50, 4022629.0)
SRR18306591_1	(28, 17406262.0)																						
SRR18306591_2	(28, 8632.0)	(29, 50.0)	(30, 28.0)	(31, 82.0)	(32, 95.0)	(33, 13.0)	(34, 97.0)	(35, 11.0)	(36, 1.0)	(37, 8.0)	(38, 82.0)	(39, 138.0)	(40, 778.0)	(41, 188.0)	(42, 955.0)	(43, 2057.0)	(44, 6958.0)	(45, 19075.0)	(46, 89110.0)	(47, 417968.0)	(48, 1153573.0)	(49, 4063261.0)	(50, 11643102.0)
