Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR18306583_2 - polya	(1, 0.033997829940802735)	(2, 0.04778917996361536)	(3, 0.05974089714884033)	(4, 0.07424569452212766)	(5, 0.08643915833024074)	(6, 0.09777766456960316)	(7, 0.10666332702551536)	(8, 0.11592045380440198)	(9, 0.12487097511035733)	(10, 0.13501843701256364)	(11, 0.14389230695028615)	(12, 0.152895894588095)	(13, 0.16263651461275788)	(14, 0.17197029275987732)	(15, 0.18119793824328978)	(16, 0.19091497323157333)	(17, 0.20060842318347755)	(18, 0.2107794701220632)	(19, 0.22044343877849323)	(20, 0.23064396701255302)	(21, 0.24146949871066503)	(22, 0.25271956106360494)	(23, 0.264175992484864)	(24, 0.2755970463515541)	(25, 0.2870652702910028)	(26, 0.299571235831142)	(27, 0.311310687688953)	(28, 0.3231975460241348)	(29, 0.33513157443207525)	(30, 0.34842174243182716)	(31, 0.3624548390775279)	(32, 0.37569783700452114)	(33, 0.3889821087451782)	(34, 0.4024432682586802)	(35, 0.4169598581501572)	(36, 0.43101653983223726)	(37, 0.44481968237323954)	(38, 0.45909452564182845)	(39, 0.47328682128308963)
SRR18306583_2 - polyg	(1, 0.21563798761620495)	(2, 0.22340925710319384)	(3, 0.22605078117767868)	(4, 0.22704724896470535)	(5, 0.22794937660621467)	(6, 0.2290460807978535)	(7, 0.2300956149167336)	(8, 0.23144585824945021)	(9, 0.2329258192822531)	(10, 0.2347713483789356)	(11, 0.23631616826178165)	(12, 0.2376958928899724)	(13, 0.23935863795471507)	(14, 0.24059685236462985)	(15, 0.24170534907445831)	(16, 0.2430732811844594)	(17, 0.24425842926252067)	(18, 0.245337444676875)	(19, 0.24666410297321223)	(20, 0.24796717623317016)	(21, 0.2495119961160162)	(22, 0.2509742683715346)	(23, 0.25266059847265665)	(24, 0.25429975850102)	(25, 0.25558514298369345)	(26, 0.2572066142347723)	(27, 0.2586629902311959)	(28, 0.26023729140951607)	(29, 0.26152267589218947)	(30, 0.26272551274753525)	(31, 0.26396372715745003)	(32, 0.26530217797197697)	(33, 0.26671138389564186)	(34, 0.267973183341936)	(35, 0.26914064264271276)	(36, 0.2704849897163345)	(37, 0.27202391334008574)	(38, 0.27345670430012997)	(39, 0.2747185037464241)
SRR18306584_2 - polya	(1, 0.03514672010588224)	(2, 0.04882278846631748)	(3, 0.06078611669654698)	(4, 0.07587761935326545)	(5, 0.08856482265739322)	(6, 0.09949404363919662)	(7, 0.10832919744293715)	(8, 0.11738409903696824)	(9, 0.1270723913206603)	(10, 0.13709676846009086)	(11, 0.14609350152139797)	(12, 0.15548448797116754)	(13, 0.16474621101488385)	(14, 0.17376879675740162)	(15, 0.18292064590597262)	(16, 0.1928028332987446)	(17, 0.20168322929460378)	(18, 0.21153310083586244)	(19, 0.2211309087353172)	(20, 0.2312910124511037)	(21, 0.242394739031079)	(22, 0.2537246765716475)	(23, 0.26499644557949203)	(24, 0.2764233306746005)	(25, 0.2878825316212223)	(26, 0.30022718689930894)	(27, 0.3112081132435336)	(28, 0.32351398949980426)	(29, 0.33570999186092965)	(30, 0.3482420790777935)	(31, 0.36189875792732074)	(32, 0.37540678385988674)	(33, 0.38861104078822756)	(34, 0.40245515157653206)	(35, 0.41644145211149514)	(36, 0.4305117738603928)	(37, 0.4444528322032372)	(38, 0.45902081806544)	(39, 0.4728649288537445)
SRR18306584_2 - polyg	(1, 0.22904182918577692)	(2, 0.23691397061442063)	(3, 0.2402231138093842)	(4, 0.24231718098744703)	(5, 0.2441850372049167)	(6, 0.24608520927389965)	(7, 0.24812110791923855)	(8, 0.2509584396821077)	(9, 0.25386040314800346)	(10, 0.25687224050904445)	(11, 0.2598129829967562)	(12, 0.26254044086448003)	(13, 0.26532606726492786)	(14, 0.267530008338136)	(15, 0.2698890654986081)	(16, 0.272383849235436)	(17, 0.2748463171207507)	(18, 0.27711488989698546)	(19, 0.27957735778230014)	(20, 0.28236298418274797)	(21, 0.2846509464698907)	(22, 0.28702292997096807)	(23, 0.28962112443263865)	(24, 0.29230980327854655)	(25, 0.2949597031026384)	(26, 0.29771301365157293)	(27, 0.30006560764174234)	(28, 0.303103297683994)	(29, 0.3052684597353862)	(30, 0.30747886397889695)	(31, 0.30976036309573707)	(32, 0.3123003890246837)	(33, 0.314769320080301)	(34, 0.31727703015773434)	(35, 0.31976535072425966)	(36, 0.32233769250471955)	(37, 0.32488418160396887)	(38, 0.3271204385286903)	(39, 0.3291563371740292)
SRR18306585_2 - polya	(1, 0.03502772088708119)	(2, 0.04873143618842557)	(3, 0.06059091316884136)	(4, 0.07514630797255901)	(5, 0.08751166977017397)	(6, 0.09868596098552254)	(7, 0.10773425524757843)	(8, 0.11664807379873328)	(9, 0.12626628893079836)	(10, 0.1358140644047724)	(11, 0.14468305771896023)	(12, 0.15321906355853596)	(13, 0.16251069482126992)	(14, 0.17163583234669785)	(15, 0.18051763287144768)	(16, 0.19020628766160377)	(17, 0.19884475118567554)	(18, 0.2087447249501047)	(19, 0.21819004273958273)	(20, 0.22835256432053297)	(21, 0.23888009140250033)	(22, 0.25013122588122094)	(23, 0.2611582341751065)	(24, 0.27274875973372015)	(25, 0.28394866537019275)	(26, 0.29582735316645153)	(27, 0.30687997588146104)	(28, 0.31828479688692574)	(29, 0.32990093686666344)	(30, 0.3419845400319143)	(31, 0.3555089543853906)	(32, 0.3685659055533538)	(33, 0.38169329637940796)	(34, 0.39447489252028806)	(35, 0.40794167442623536)	(36, 0.42161337170117474)	(37, 0.43484322021172495)	(38, 0.4487198328556564)	(39, 0.4625388130520588)
SRR18306585_2 - polyg	(1, 0.23303359978094548)	(2, 0.24217794812221638)	(3, 0.24510439573563433)	(4, 0.24610976176475166)	(5, 0.24728802513645604)	(6, 0.24862637864018544)	(7, 0.25017605111818797)	(8, 0.2521803795711416)	(9, 0.2541462863924092)	(10, 0.25668851768896706)	(11, 0.2587889002211357)	(12, 0.2608636683321804)	(13, 0.26329063473368014)	(14, 0.26494916850145966)	(15, 0.2665500698217102)	(16, 0.26839430814263876)	(17, 0.2700016130681703)	(18, 0.27178821894156985)	(19, 0.27377333657868047)	(20, 0.2756688037418571)	(21, 0.27769234301065376)	(22, 0.2795237741210203)	(23, 0.2814384521000399)	(24, 0.28343637694771256)	(25, 0.2853894765584182)	(26, 0.28737459419552885)	(27, 0.2894365550960115)	(28, 0.2916329917073952)	(29, 0.29359889852866283)	(30, 0.29526383590172334)	(31, 0.29702482735399893)	(32, 0.2989202945171755)	(33, 0.3006812859694511)	(34, 0.3026471927907187)	(35, 0.3046387140331104)	(36, 0.3063164586167329)	(37, 0.30809666088485144)	(38, 0.3100561641008381)	(39, 0.3117082942633366)
SRR18306586_2 - polya	(1, 0.034140936606594015)	(2, 0.04824234657294016)	(3, 0.05984690138010758)	(4, 0.07457575940458931)	(5, 0.0868595105633468)	(6, 0.09768137243201519)	(7, 0.10654973622277691)	(8, 0.11544397416026589)	(9, 0.12479100966548157)	(10, 0.1346296539585148)	(11, 0.14340098969904938)	(12, 0.15228875909985654)	(13, 0.16152582948148145)	(14, 0.17126097718760575)	(15, 0.18069857220636676)	(16, 0.1902784750321276)	(17, 0.1994443915102526)	(18, 0.20974877044437618)	(19, 0.21947744961381865)	(20, 0.22977536001126042)	(21, 0.24023498382574746)	(22, 0.25081750983718887)	(23, 0.26200807829672046)	(24, 0.27303046480252496)	(25, 0.28398169740482954)	(26, 0.2961102036832236)	(27, 0.3073978001929823)	(28, 0.3189506067066953)	(29, 0.3306521895640898)	(30, 0.3433434585338014)	(31, 0.3566039587315122)	(32, 0.3693922557514509)	(33, 0.3821546786246623)	(34, 0.3946907027140104)	(35, 0.4084492802362206)	(36, 0.42279649459647556)	(37, 0.4361281486976863)	(38, 0.4497508869495785)	(39, 0.4636647093521521)
SRR18306586_2 - polyg	(1, 0.25358604353700365)	(2, 0.26461489857948994)	(3, 0.26812084546103104)	(4, 0.27002906378216507)	(5, 0.2719243450299354)	(6, 0.2738907801812057)	(7, 0.27620651631329374)	(8, 0.27913676343015376)	(9, 0.2819764510334684)	(10, 0.28490669815032843)	(11, 0.28786928795059746)	(12, 0.2903790801831398)	(13, 0.29330285876331796)	(14, 0.2955991892853606)	(15, 0.29792786249081227)	(16, 0.3002112559394912)	(17, 0.3022165023108524)	(18, 0.30437699356257697)	(19, 0.3065374848143016)	(20, 0.3090343399734803)	(21, 0.31141476147238645)	(22, 0.3136658122376564)	(23, 0.3160656393466079)	(24, 0.3186724596293774)	(25, 0.32076826551428395)	(26, 0.3234785823839624)	(27, 0.32577491290600497)	(28, 0.3283364534320018)	(29, 0.330374042486772)	(30, 0.33235988324808774)	(31, 0.33433925547272164)	(32, 0.33626041086721925)	(33, 0.33837562236217117)	(34, 0.34046495971039586)	(35, 0.3425801712053478)	(36, 0.34482475343393587)	(37, 0.34697230761229686)	(38, 0.34919748423083957)	(39, 0.3510280801117918)
SRR18306587_2 - polya	(1, 0.038691877514269904)	(2, 0.05309807614468978)	(3, 0.06552177037642802)	(4, 0.0816296186157163)	(5, 0.09522629461667452)	(6, 0.10799692711818204)	(7, 0.11766163606175502)	(8, 0.1274750328352291)	(9, 0.13710670003882405)	(10, 0.147977432491595)	(11, 0.15734476577536574)	(12, 0.16692687036899362)	(13, 0.177103726282226)	(14, 0.18759447872524967)	(15, 0.19826696073815248)	(16, 0.20953419407065976)	(17, 0.21949627867403498)	(18, 0.2300531145970147)	(19, 0.24024649138023607)	(20, 0.25113374470299604)	(21, 0.2629296458751518)	(22, 0.2755020279367911)	(23, 0.2875457421587821)	(24, 0.29973814421067413)	(25, 0.31204619235248926)	(26, 0.324998554423876)	(27, 0.3366457677661306)	(28, 0.3494659628776051)	(29, 0.3637234736781239)	(30, 0.377221024459148)	(31, 0.39207328657927126)	(32, 0.4060995051999438)	(33, 0.42088568384011105)	(34, 0.43583707118016835)	(35, 0.4510693133100389)	(36, 0.4665163267497666)	(37, 0.4812859845199448)	(38, 0.4965677892597824)	(39, 0.5128904088089279)
SRR18306587_2 - polyg	(1, 0.21642339685607845)	(2, 0.22286653615179375)	(3, 0.22549335448004693)	(4, 0.22612114753962945)	(5, 0.2269306701690911)	(6, 0.22769063018858574)	(7, 0.22869840325791557)	(8, 0.22992094763710258)	(9, 0.23134174245615774)	(10, 0.23294426684509206)	(11, 0.23446418688408133)	(12, 0.23598410692307056)	(13, 0.23768575653193896)	(14, 0.23889178004113695)	(15, 0.2399160739804558)	(16, 0.2411220974896538)	(17, 0.242559413178698)	(18, 0.24391412451779712)	(19, 0.24525231498690722)	(20, 0.2464583384961052)	(21, 0.24806086288503953)	(22, 0.24929992813421556)	(23, 0.2506876812132927)	(24, 0.25224064299225996)	(25, 0.25367795868130416)	(26, 0.25513179524033736)	(27, 0.2565030274494255)	(28, 0.25830380227822797)	(29, 0.259575909267382)	(30, 0.260748891036602)	(31, 0.2622027275956352)	(32, 0.2636730850246574)	(33, 0.26515996332366865)	(34, 0.26649815379277875)	(35, 0.2678033025219108)	(36, 0.2691084512510429)	(37, 0.2705622878100761)	(38, 0.27201612436910927)	(39, 0.27320562700831824)
SRR18306588_2 - polya	(1, 0.039077498101462695)	(2, 0.053440309371293314)	(3, 0.06550640226889147)	(4, 0.08186635994935902)	(5, 0.09584638482381756)	(6, 0.10801233504194756)	(7, 0.11793149554811101)	(8, 0.12791722760129567)	(9, 0.1381692458425653)	(10, 0.14853776429112203)	(11, 0.1587065680986151)	(12, 0.16804322756834278)	(13, 0.1781621027155699)	(14, 0.18831426363630765)	(15, 0.19888249672592812)	(16, 0.21014973105927148)	(17, 0.21980260537735)	(18, 0.23082019640936374)	(19, 0.24153821547978196)	(20, 0.25265566383232757)	(21, 0.26518775755907437)	(22, 0.2770874215891194)	(23, 0.28983587284368517)	(24, 0.30201846594857046)	(25, 0.3149832747309553)	(26, 0.3281477981544037)	(27, 0.34106267827652254)	(28, 0.35426048747348166)	(29, 0.3678410830658128)	(30, 0.3816546790727183)	(31, 0.39691620622733553)	(32, 0.41122908883690024)	(33, 0.425924757841837)	(34, 0.44082014148783744)	(35, 0.4569970274139966)	(36, 0.47329041354744295)	(37, 0.4879361538921138)	(38, 0.5034473243480607)	(39, 0.5194577814066668)
SRR18306588_2 - polyg	(1, 0.2076033693857094)	(2, 0.21284587871363134)	(3, 0.21582495544283142)	(4, 0.21737274391107506)	(5, 0.21877074639852093)	(6, 0.21998567713165837)	(7, 0.22155010848665732)	(8, 0.22354725489729424)	(9, 0.22571083017548427)	(10, 0.22785776256691898)	(11, 0.23025433825968328)	(12, 0.23211834157627775)	(13, 0.23436513128824432)	(14, 0.23589627686973264)	(15, 0.23761049420552932)	(16, 0.23919156844728356)	(17, 0.2409557144433462)	(18, 0.24300278951424906)	(19, 0.24486679283084353)	(20, 0.24661429594015086)	(21, 0.24826194172892632)	(22, 0.2503090167998292)	(23, 0.25252252073828513)	(24, 0.2546528102429645)	(25, 0.256733171087378)	(26, 0.2585472457437065)	(27, 0.26062760658812)	(28, 0.26279118186631)	(29, 0.2647217567299257)	(30, 0.2663860454054565)	(31, 0.2684164775896041)	(32, 0.27036369533997506)	(33, 0.2718615551479528)	(34, 0.27374220135130256)	(35, 0.2756394904414076)	(36, 0.2777198512858211)	(37, 0.2796504261494368)	(38, 0.281497786579276)	(39, 0.283445004329647)
SRR18306589_2 - polya	(1, 0.04068623455663718)	(2, 0.05462778694932106)	(3, 0.06748041335630417)	(4, 0.08399579080609891)	(5, 0.09821782413449358)	(6, 0.11032800100577164)	(7, 0.11971586291279782)	(8, 0.12872425061268586)	(9, 0.1385740811197063)	(10, 0.14929835219100157)	(11, 0.158702712976599)	(12, 0.1683380580621935)	(13, 0.17807239641921538)	(14, 0.1880377190762344)	(15, 0.1979370462189685)	(16, 0.20871081392597746)	(17, 0.2188411253687087)	(18, 0.22971388634714499)	(19, 0.23956371685416541)	(20, 0.25065096325402764)	(21, 0.2627281423681632)	(22, 0.27495381138943986)	(23, 0.28749295910356976)	(24, 0.3005105742962651)	(25, 0.3133632007032482)	(26, 0.3265458046816558)	(27, 0.3394149299672101)	(28, 0.35235005076704934)	(29, 0.3659121289525951)	(30, 0.3796061981667106)	(31, 0.39445518888081177)	(32, 0.4083967412734956)	(33, 0.4228827566590299)	(34, 0.4368078101731425)	(35, 0.45241574930151995)	(36, 0.46729773777276357)	(37, 0.48160226549401436)	(38, 0.49707821359382204)	(39, 0.5118282110364959)
SRR18306589_2 - polyg	(1, 0.21841215452585688)	(2, 0.22512719810434484)	(3, 0.22781651531145428)	(4, 0.22844347269716078)	(5, 0.22913642559715217)	(6, 0.23002736503999824)	(7, 0.2308523089685594)	(8, 0.2321227226185436)	(9, 0.23340963514709906)	(10, 0.23472954543279692)	(11, 0.2360329568399236)	(12, 0.23743536151847758)	(13, 0.2388542650756028)	(14, 0.239976188818446)	(15, 0.24086712826129208)	(16, 0.2421540407898475)	(17, 0.2434244544398317)	(18, 0.24461237369695982)	(19, 0.24589928622551524)	(20, 0.24723569538978435)	(21, 0.24863810006833836)	(22, 0.2499250125968938)	(23, 0.25144290942544634)	(24, 0.25289481073971404)	(25, 0.2542807165396968)	(26, 0.25612859093967383)	(27, 0.2575804922539415)	(28, 0.25923038011106386)	(29, 0.2603853016110495)	(30, 0.2615732208681776)	(31, 0.26294262778958916)	(32, 0.2641800436824309)	(33, 0.2656484438752698)	(34, 0.2670343496752526)	(35, 0.26822226893238066)	(36, 0.269723666882362)	(37, 0.27129106034662825)	(38, 0.2727264627823247)	(39, 0.2739968764323089)
SRR18306590_2 - polya	(1, 0.0409194660625635)	(2, 0.05603536320853895)	(3, 0.06868743570957567)	(4, 0.08536819445436356)	(5, 0.09890258253770942)	(6, 0.11100528873278007)	(7, 0.1211435941974266)	(8, 0.13091565545809575)	(9, 0.1409707236036565)	(10, 0.15215781928878372)	(11, 0.16114744975004666)	(12, 0.17083627369163004)	(13, 0.18090798930100796)	(14, 0.19112953208474026)	(15, 0.2011180103750324)	(16, 0.21228845859634246)	(17, 0.22284295065641782)	(18, 0.23441293800933957)	(19, 0.24475101303979194)	(20, 0.25600469858018776)	(21, 0.26794093013708686)	(22, 0.27974398198344874)	(23, 0.2912806744087362)	(24, 0.30403263169267586)	(25, 0.3161353378877465)	(26, 0.3289538850269547)	(27, 0.34103994375820823)	(28, 0.35414149778230813)	(29, 0.36667703803662477)	(30, 0.38004495148179906)	(31, 0.3963927609502439)	(32, 0.4106929323691788)	(33, 0.42434385269924474)	(34, 0.43891038353925416)	(35, 0.4544591147444756)	(36, 0.4695417169628167)	(37, 0.48522362787857537)	(38, 0.5000398706758421)	(39, 0.5146896388349372)
SRR18306590_2 - polyg	(1, 0.23173269633477783)	(2, 0.2400231333157203)	(3, 0.24301967680280795)	(4, 0.24438476883581456)	(5, 0.24561668115828392)	(6, 0.2469484782636562)	(7, 0.24862987210918872)	(8, 0.25066086269488147)	(9, 0.25239219893186543)	(10, 0.254839376112987)	(11, 0.25668724459669107)	(12, 0.25866829279093234)	(13, 0.26101558518915097)	(14, 0.26236402975834044)	(15, 0.264161955850593)	(16, 0.265893292087577)	(17, 0.2673582689034865)	(18, 0.26870671347267594)	(19, 0.2705712294201971)	(20, 0.2720528536999238)	(21, 0.2738174848645421)	(22, 0.27541564139098884)	(23, 0.27698050298980126)	(24, 0.2785120696609794)	(25, 0.28021011097032905)	(26, 0.282590698296182)	(27, 0.28415555989499447)	(28, 0.2857204214938069)	(29, 0.28703557113536204)	(30, 0.288117656283477)	(31, 0.2897657552013752)	(32, 0.2914637965107249)	(33, 0.2928788309351829)	(34, 0.29437710267872674)	(35, 0.2959086693499049)	(36, 0.29752347334016876)	(37, 0.29918821972188414)	(38, 0.3011026780608568)	(39, 0.302750776978755)
SRR18306591_2 - polya	(1, 0.03427502125384531)	(2, 0.048591707972682474)	(3, 0.05998415972366727)	(4, 0.07494429303660947)	(5, 0.08738234550301495)	(6, 0.09829221230842096)	(7, 0.1070821523886059)	(8, 0.11629722682561024)	(9, 0.1259259455016821)	(10, 0.13630726689050182)	(11, 0.14530402909022053)	(12, 0.15399055811063858)	(13, 0.16328606337190604)	(14, 0.1723402761603841)	(15, 0.18177940789355004)	(16, 0.19191369175070444)	(17, 0.2016515665454191)	(18, 0.21187777134458852)	(19, 0.22194311449523166)	(20, 0.23232443588405138)	(21, 0.24339516433798364)	(22, 0.25457504891055877)	(23, 0.2661283623100698)	(24, 0.2778425373581071)	(25, 0.28945330134637753)	(26, 0.301707511928753)	(27, 0.31336998144690686)	(28, 0.32544609520412826)	(29, 0.3380794796723156)	(30, 0.35079904002364204)	(31, 0.3653685093330205)	(32, 0.37840979298139943)	(33, 0.39245646193306755)	(34, 0.4056815874654765)	(35, 0.41961910029850175)	(36, 0.43401047278272614)	(37, 0.44702303113672537)	(38, 0.4613224826789347)	(39, 0.4758919519883132)
SRR18306591_2 - polyg	(1, 0.21290039182450546)	(2, 0.2197025415336159)	(3, 0.2221614267325173)	(4, 0.22291402944526517)	(5, 0.2237700432177799)	(6, 0.2245283909894037)	(7, 0.22538440476191843)	(8, 0.22657363194923757)	(9, 0.2279122306673311)	(10, 0.22928529973868025)	(11, 0.23081348539967972)	(12, 0.23224400505978826)	(13, 0.2338928369571824)	(14, 0.2350131234379903)	(15, 0.2360874494477907)	(16, 0.23726518651735795)	(17, 0.2382303564085155)	(18, 0.23961491559761652)	(19, 0.2409764945512138)	(20, 0.24237828891694266)	(21, 0.24364220186964897)	(22, 0.2449808005877425)	(23, 0.2464228103656029)	(24, 0.2479682312032302)	(25, 0.24935853545120715)	(26, 0.25113375864387194)	(27, 0.25254129806847675)	(28, 0.2541728947892431)	(29, 0.25545978797745317)	(30, 0.25671795587128354)	(31, 0.25789569294085085)	(32, 0.2591825861290609)	(33, 0.26045224414064316)	(34, 0.2618368033297442)	(35, 0.2631007162824505)	(36, 0.2644163347650403)	(37, 0.2657491884242579)	(38, 0.2671624729077386)	(39, 0.2684321309193209)
