Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR18306571_1	(1.0, 66.31372065154734)	(2.0, 2.2004319621136332)	(3.0, 0.08571736205867292)	(4.0, 0.014738675608260265)	(5.0, 0.020497706131675494)	(6.0, 0.009253613066506485)	(7.0, 0.006451546510618709)	(8.0, 0.009384489153279335)	(9.0, 0.006542569999565122)	('>10', 0.051410984401088156)	('>50', 0.0065479821933151685)	('>100', 0.015390866404931322)	('>500', 0.015179415543182558)	('>1k', 0.03827005407806231)	('>5k', 0.0)	('>10k+', 31.206462121189816)
SRR18306571_2	(1.0, 42.008770468087256)	(2.0, 5.940367015362609)	(3.0, 2.735888878378868)	(4.0, 1.819863707825458)	(5.0, 1.3561459666971547)	(6.0, 1.0998177032549727)	(7.0, 0.9471179168128243)	(8.0, 0.7566487180692288)	(9.0, 0.6662296026932263)	('>10', 10.875902683160554)	('>50', 6.566013523916974)	('>100', 18.387637952915405)	('>500', 4.207709603321668)	('>1k', 2.3067741897408354)	('>5k', 0.32511206976296436)	('>10k+', 0.0)
SRR18306572_1	(1.0, 66.29670422002475)	(2.0, 2.2145836722357326)	(3.0, 0.07177189650756727)	(4.0, 0.023861589834763917)	(5.0, 0.014136640067147904)	(6.0, 0.009254389789822537)	(7.0, 0.00788638249637256)	(8.0, 0.00433221104325118)	(9.0, 0.002181450186128785)	('>10', 0.054576017025460985)	('>50', 0.010358577662163386)	('>100', 0.019300149316670102)	('>500', 0.02302862379359853)	('>1k', 0.03823360928600012)	('>5k', 0.0)	('>10k+', 31.209790570730572)
SRR18306572_2	(1.0, 39.949516710870434)	(2.0, 6.179057858654977)	(3.0, 2.9472076741373665)	(4.0, 1.9600531797103231)	(5.0, 1.4814255556334288)	(6.0, 1.1491033594179494)	(7.0, 0.9659609207187133)	(8.0, 0.8232915523009723)	(9.0, 0.751194463400752)	('>10', 11.283682217752048)	('>50', 6.998884635753388)	('>100', 18.78126793190056)	('>500', 4.140807525518948)	('>1k', 2.2659836167088394)	('>5k', 0.3225627975212858)	('>10k+', 0.0)
SRR18306573_1	(1.0, 66.06423902653799)	(2.0, 2.3708031646007433)	(3.0, 0.08631971457209545)	(4.0, 0.02593997575370424)	(5.0, 0.014827204153579436)	(6.0, 0.008532689649162886)	(7.0, 0.006444727298171091)	(8.0, 0.0050478914843966)	(9.0, 0.002904788382676394)	('>10', 0.05184738253113516)	('>50', 0.010702484101062427)	('>100', 0.023632447958773187)	('>500', 0.01548461543715896)	('>1k', 0.03870666615254587)	('>5k', 0.0)	('>10k+', 31.274567221386835)
SRR18306573_2	(1.0, 39.64224647636615)	(2.0, 6.36902509059771)	(3.0, 3.021473529551361)	(4.0, 1.9075492758560995)	(5.0, 1.478736995168361)	(6.0, 1.1617127847012838)	(7.0, 0.988359417464222)	(8.0, 0.8063080912015047)	(9.0, 0.7129808451960951)	('>10', 11.298338670885618)	('>50', 6.83339231920896)	('>100', 18.900105674473476)	('>500', 4.242158542267533)	('>1k', 2.359378944336527)	('>5k', 0.27823334272504113)	('>10k+', 0.0)
SRR18306574_1	(1.0, 66.06152740713614)	(2.0, 2.37471820599637)	(3.0, 0.07448331610704159)	(4.0, 0.018228768532105893)	(5.0, 0.014122617328731157)	(6.0, 0.009956504696228647)	(7.0, 0.005013754185265636)	(8.0, 0.007934805264072522)	(9.0, 0.0021793947152819373)	('>10', 0.05751872721932739)	('>50', 0.012900307722239102)	('>100', 0.01819988616694042)	('>500', 0.02323227890035721)	('>1k', 0.03781884520401079)	('>5k', 0.0)	('>10k+', 31.282165180825906)
SRR18306574_2	(1.0, 39.94131532386566)	(2.0, 6.306140958525653)	(3.0, 2.9785391392555307)	(4.0, 1.9347550038839416)	(5.0, 1.4710093606197394)	(6.0, 1.1418001499763377)	(7.0, 0.9610094439482648)	(8.0, 0.8587316638174938)	(9.0, 0.7136135781775339)	('>10', 11.213383049665135)	('>50', 6.941166906349329)	('>100', 18.653443844007015)	('>500', 4.270799976263396)	('>1k', 2.3335417575038093)	('>5k', 0.2807498441410893)	('>10k+', 0.0)
SRR18306575_1	(1.0, 66.0148478375054)	(2.0, 2.4809581134672283)	(3.0, 0.0944747796508275)	(4.0, 0.016064729096800397)	(5.0, 0.015450142203419857)	(6.0, 0.010591584325991785)	(7.0, 0.01135913236249238)	(8.0, 0.010706994625286737)	(9.0, 0.004306003358071293)	('>10', 0.05278395637065518)	('>50', 0.01304366521271434)	('>100', 0.025523655833040573)	('>500', 0.006504184205868359)	('>1k', 0.047982424660592875)	('>5k', 0.0)	('>10k+', 31.19540279712163)
SRR18306575_2	(1.0, 40.7252633715696)	(2.0, 5.9271661745794795)	(3.0, 2.850904398088478)	(4.0, 1.7218421423941543)	(5.0, 1.3794024254342947)	(6.0, 1.1215338444037342)	(7.0, 0.8860634555320381)	(8.0, 0.753970830442491)	(9.0, 0.669216851994405)	('>10', 10.156859106341242)	('>50', 5.794615958968482)	('>100', 18.76264801452214)	('>500', 5.379458777629678)	('>1k', 3.4980425142016887)	('>5k', 0.14427422488377462)	('>10k+', 0.2287379090142325)
SRR18306576_1	(1.0, 65.94739801469119)	(2.0, 2.647760205163371)	(3.0, 0.12022184780726104)	(4.0, 0.025134322381601428)	(5.0, 0.013327309297787646)	(6.0, 0.009865927459101994)	(7.0, 0.007079909390124454)	(8.0, 0.006401545512167222)	(9.0, 0.003572923949550336)	('>10', 0.0608088476356793)	('>50', 0.015704587308627137)	('>100', 0.019168037136987563)	('>500', 0.010311909745155785)	('>1k', 0.03275623482366392)	('>5k', 0.0)	('>10k+', 31.0804883776977)
SRR18306577_1	(1.0, 65.87320962888747)	(2.0, 2.764218484315767)	(3.0, 0.11670523255190694)	(4.0, 0.016742636466292385)	(5.0, 0.010508308731997247)	(6.0, 0.01125609905386254)	(7.0, 0.012009933531333509)	(8.0, 0.007803789147466163)	(9.0, 0.00712412286168543)	('>10', 0.05702654781792202)	('>50', 0.01724605289562004)	('>100', 0.015784371252750538)	('>500', 0.009616755172776104)	('>1k', 0.04019385036844088)	('>5k', 0.0)	('>10k+', 31.040554186944792)
SRR18306577_2	(1.0, 33.349716830884624)	(2.0, 6.24395579476245)	(3.0, 3.1698576304284862)	(4.0, 2.2235730058405876)	(5.0, 1.6692229104617249)	(6.0, 1.3772151590833024)	(7.0, 1.1538518155981665)	(8.0, 1.0119122771571696)	(9.0, 0.9274541075951523)	('>10', 12.892473391431425)	('>50', 5.765855497909751)	('>100', 19.228885838905345)	('>500', 6.08890207382705)	('>1k', 4.537370630982128)	('>5k', 0.35975303513263773)	('>10k+', 0.0)
SRR18306578_2	(1.0, 33.68191664197941)	(2.0, 6.19834734308456)	(3.0, 3.1334391500403744)	(4.0, 2.132393085472497)	(5.0, 1.7667406743727545)	(6.0, 1.3412632402343219)	(7.0, 1.1465222184813224)	(8.0, 0.9822599309918143)	(9.0, 0.9057337983676682)	('>10', 12.61694757186367)	('>50', 5.738155125645284)	('>100', 19.05644920427211)	('>500', 6.213535294565103)	('>1k', 4.715864901296383)	('>5k', 0.3053054566847064)	('>10k+', 0.06512636264795037)
SRR18306579_1	(1.0, 65.46607737513185)	(2.0, 3.067642081146919)	(3.0, 0.13183000795861172)	(4.0, 0.02229702919523488)	(5.0, 0.016093799747918493)	(6.0, 0.007026869310285768)	(7.0, 0.007056516833155487)	(8.0, 0.007794871478998036)	(9.0, 0.009250876958929436)	('>10', 0.057506000928673445)	('>50', 0.019090581349387053)	('>100', 0.015821034676746663)	('>500', 0.010101762284097)	('>1k', 0.039428895785535954)	('>5k', 0.0)	('>10k+', 31.122982297213692)
SRR18306579_2	(1.0, 33.55092981167952)	(2.0, 6.241091042498936)	(3.0, 3.1671505497286137)	(4.0, 2.1865435872157843)	(5.0, 1.672913296332498)	(6.0, 1.3418946913044272)	(7.0, 1.1820170773257552)	(8.0, 1.020924758153134)	(9.0, 0.9300305798942556)	('>10', 12.765161853504054)	('>50', 5.725536381653408)	('>100', 19.081604361202736)	('>500', 6.165154129814098)	('>1k', 4.624894677215371)	('>5k', 0.2789044364568327)	('>10k+', 0.06524876602050574)
SRR18306580_1	(1.0, 65.78601134566226)	(2.0, 2.799133936302155)	(3.0, 0.10066802921333744)	(4.0, 0.02440262978158003)	(5.0, 0.0154040050203105)	(6.0, 0.011250470843965988)	(7.0, 0.007061351372004359)	(8.0, 0.006382117565517781)	(9.0, 0.010681823056169064)	('>10', 0.07790330063357834)	('>50', 0.011130170269909026)	('>100', 0.016040608053205573)	('>500', 0.013427187140738506)	('>1k', 0.03208711416980318)	('>5k', 0.0)	('>10k+', 31.088415910915423)
SRR18306580_2	(1.0, 37.43132544536843)	(2.0, 5.810327228290965)	(3.0, 2.914660283603559)	(4.0, 1.9590017490481348)	(5.0, 1.4852284056096696)	(6.0, 1.2469037577615785)	(7.0, 1.0695823839433598)	(8.0, 0.8941731775984939)	(9.0, 0.8098830304340496)	('>10', 11.677398914539818)	('>50', 5.376131472474794)	('>100', 18.457834459264006)	('>500', 5.93279390492996)	('>1k', 4.577820537294331)	('>5k', 0.2929508391174256)	('>10k+', 0.06398441072120174)
SRR18306581_1	(1.0, 65.88343734659901)	(2.0, 2.780312488290479)	(3.0, 0.09935165913792764)	(4.0, 0.02930550266302792)	(5.0, 0.014014835159454028)	(6.0, 0.004222451581534512)	(7.0, 0.00918775753433545)	(8.0, 0.007807444755887699)	(9.0, 0.010691899587953328)	('>10', 0.040614165710998344)	('>50', 0.011870785880864503)	('>100', 0.017453905844183114)	('>500', 0.009587255579395385)	('>1k', 0.041237603943166466)	('>5k', 0.0)	('>10k+', 31.040904897731775)
SRR18306581_2	(1.0, 33.580780561008496)	(2.0, 6.248550866947684)	(3.0, 3.1849559313259093)	(4.0, 2.222385747230701)	(5.0, 1.6870134477064516)	(6.0, 1.428031152298761)	(7.0, 1.2053313374822998)	(8.0, 1.0497718525516775)	(9.0, 0.9058666400477455)	('>10', 12.810805596082972)	('>50', 5.846744102060755)	('>100', 19.001534643824858)	('>500', 5.988784151182665)	('>1k', 4.51103637878633)	('>5k', 0.3284075914627422)	('>10k+', 0.0)
SRR18306582_1	(1.0, 65.49289807186244)	(2.0, 3.0142425474328447)	(3.0, 0.11165361127955203)	(4.0, 0.01880446400110385)	(5.0, 0.018185204333025947)	(6.0, 0.0133457635761136)	(7.0, 0.011991709035508492)	(8.0, 0.010625835820850648)	(9.0, 0.005691134600629337)	('>10', 0.05990161770469372)	('>50', 0.013596210705291519)	('>100', 0.018747381568740503)	('>500', 0.013307486314198397)	('>1k', 0.03254738844010247)	('>5k', 0.0)	('>10k+', 31.164461573324846)
SRR18306582_2	(1.0, 33.626951976233904)	(2.0, 6.110385035055295)	(3.0, 3.231277596883468)	(4.0, 2.1851450893565256)	(5.0, 1.6953732939762596)	(6.0, 1.3357521250910576)	(7.0, 1.222298637690028)	(8.0, 1.025745590332324)	(9.0, 0.8797714329395967)	('>10', 12.685309313923993)	('>50', 5.713100638830287)	('>100', 19.124609895673768)	('>500', 6.212979304274522)	('>1k', 4.63814980600438)	('>5k', 0.2487478509425001)	('>10k+', 0.06440241279218603)
